fips,nonReportingBegins,nonReportingNote
12000,2021-06-05,Florida stopped reporting county-level deaths around this date
12001,2021-06-05,Florida stopped reporting county-level deaths around this date
12003,2021-06-05,Florida stopped reporting county-level deaths around this date
12005,2021-06-05,Florida stopped reporting county-level deaths around this date
12007,2021-06-05,Florida stopped reporting county-level deaths around this date
12009,2021-06-05,Florida stopped reporting county-level deaths around this date
12011,2021-06-05,Florida stopped reporting county-level deaths around this date
12013,2021-06-05,Florida stopped reporting county-level deaths around this date
12015,2021-06-05,Florida stopped reporting county-level deaths around this date
12017,2021-06-05,Florida stopped reporting county-level deaths around this date
12019,2021-06-05,Florida stopped reporting county-level deaths around this date
12021,2021-06-05,Florida stopped reporting county-level deaths around this date
12023,2021-06-05,Florida stopped reporting county-level deaths around this date
12027,2021-06-05,Florida stopped reporting county-level deaths around this date
12029,2021-06-05,Florida stopped reporting county-level deaths around this date
12031,2021-06-05,Florida stopped reporting county-level deaths around this date
12033,2021-06-05,Florida stopped reporting county-level deaths around this date
12035,2021-06-05,Florida stopped reporting county-level deaths around this date
12037,2021-06-05,Florida stopped reporting county-level deaths around this date
12039,2021-06-05,Florida stopped reporting county-level deaths around this date
12041,2021-06-05,Florida stopped reporting county-level deaths around this date
12043,2021-06-05,Florida stopped reporting county-level deaths around this date
12045,2021-06-05,Florida stopped reporting county-level deaths around this date
12047,2021-06-05,Florida stopped reporting county-level deaths around this date
12049,2021-06-05,Florida stopped reporting county-level deaths around this date
12051,2021-06-05,Florida stopped reporting county-level deaths around this date
12053,2021-06-05,Florida stopped reporting county-level deaths around this date
12055,2021-06-05,Florida stopped reporting county-level deaths around this date
12057,2021-06-05,Florida stopped reporting county-level deaths around this date
12059,2021-06-05,Florida stopped reporting county-level deaths around this date
12061,2021-06-05,Florida stopped reporting county-level deaths around this date
12063,2021-06-05,Florida stopped reporting county-level deaths around this date
12065,2021-06-05,Florida stopped reporting county-level deaths around this date
12067,2021-06-05,Florida stopped reporting county-level deaths around this date
12069,2021-06-05,Florida stopped reporting county-level deaths around this date
12071,2021-06-05,Florida stopped reporting county-level deaths around this date
12073,2021-06-05,Florida stopped reporting county-level deaths around this date
12075,2021-06-05,Florida stopped reporting county-level deaths around this date
12077,2021-06-05,Florida stopped reporting county-level deaths around this date
12079,2021-06-05,Florida stopped reporting county-level deaths around this date
12081,2021-06-05,Florida stopped reporting county-level deaths around this date
12083,2021-06-05,Florida stopped reporting county-level deaths around this date
12085,2021-06-05,Florida stopped reporting county-level deaths around this date
12086,2021-06-05,Florida stopped reporting county-level deaths around this date
12087,2021-06-05,Florida stopped reporting county-level deaths around this date
12089,2021-06-05,Florida stopped reporting county-level deaths around this date
12091,2021-06-05,Florida stopped reporting county-level deaths around this date
12093,2021-06-05,Florida stopped reporting county-level deaths around this date
12095,2021-06-05,Florida stopped reporting county-level deaths around this date
12097,2021-06-05,Florida stopped reporting county-level deaths around this date
12099,2021-06-05,Florida stopped reporting county-level deaths around this date
12101,2021-06-05,Florida stopped reporting county-level deaths around this date
12103,2021-06-05,Florida stopped reporting county-level deaths around this date
12105,2021-06-05,Florida stopped reporting county-level deaths around this date
12107,2021-06-05,Florida stopped reporting county-level deaths around this date
12109,2021-06-05,Florida stopped reporting county-level deaths around this date
12111,2021-06-05,Florida stopped reporting county-level deaths around this date
12113,2021-06-05,Florida stopped reporting county-level deaths around this date
12115,2021-06-05,Florida stopped reporting county-level deaths around this date
12117,2021-06-05,Florida stopped reporting county-level deaths around this date
12119,2021-06-05,Florida stopped reporting county-level deaths around this date
12121,2021-06-05,Florida stopped reporting county-level deaths around this date
12123,2021-06-05,Florida stopped reporting county-level deaths around this date
12125,2021-06-05,Florida stopped reporting county-level deaths around this date
12127,2021-06-05,Florida stopped reporting county-level deaths around this date
12129,2021-06-05,Florida stopped reporting county-level deaths around this date
12131,2021-06-05,Florida stopped reporting county-level deaths around this date
12133,2021-06-05,Florida stopped reporting county-level deaths around this date
