fips,hsa,proportion
01001,1001,0.02052644288819126
01001,1059,0.02873711657196271
01001,1070,0.8427362070643184
01003,1032,1
01003,1037,1
01003,1057,0.18245036159210937
01003,10093,0.022284786631398504
01005,1026,0.06749903071329023
01005,1029,0.909533211112678
01007,1001,0.02777911937535217
01007,1010,0.07362522012960537
01007,1019,1
01009,1011,0.04513797097257177
01009,1063,0.7760856632956573
01011,1059,0.003317713329889553
01011,1083,0.9217693836978131
01013,1044,1
01015,1004,0.8199728618161546
01015,1039,0.025087100851995354
01015,1053,1
01017,1064,0.08258702186380149
01017,1084,0.6636713274145429
01017,11073,0.023070841618552503
01019,1018,1
01021,1001,0.28902036545117926
01021,1059,0.014608392984527587
01021,1075,0.05834655071017411
01023,25056,0.07765681330886327
01025,1045,1
01025,1057,0.023883480853099756
01025,1080,0.44933705512909977
01027,1006,0.8662320514936458
01027,1077,0.03272213480620404
01027,1078,0.047019014671346684
01029,1004,0.11098254951666685
01029,11024,0.04472104141818812
01031,1027,1
01031,1028,0.9519028775221066
01031,1065,0.2812033442818752
01033,1060,0.019064124783362217
01033,1061,1
01033,1073,0.07498689040377557
01035,1013,0.12538757869021894
01035,1031,1
01035,1058,0.10063129729503742
01037,1002,0.15778120184899846
01037,1059,0.0017095909280987873
01037,1077,0.21563212485148198
01039,1003,0.9640332721521458
01039,1035,1
01039,1065,0.7187966557181248
01041,1056,1
01041,1059,0.012237719233512901
01043,1022,0.9219648812913273
01043,1046,0.09872981129572514
01045,1026,0.13830935440265743
01045,1028,0.0480971224778934
01045,1066,1
01047,1075,0.7133641045746975
01049,1012,0.2026646065436014
01049,1038,1
01049,1039,0.050749735357293345
01049,44009,0.012528186805021612
01051,1059,0.20332140309448257
01051,1070,0.15726379293568163
01051,1079,0.5268857637060991
01053,1003,0.0359667278478541
01053,1008,1
01053,1013,0.8746124213097811
01055,1012,0.12748366810333145
01055,1039,0.9032486819251601
01055,1063,0.22391433670434266
01057,1033,0.8349164755977727
01057,1082,0.022749373160361932
01057,1088,0.09208045254556882
01059,1048,0.048943688444477856
01059,1071,1
01059,1073,0.8126966439433665
01061,1026,0.08551204535213924
01061,1040,0.5766286783466575
01063,1025,0.10922846067275228
01063,1082,0.029124604818489042
01065,1025,0.03488808303113668
01065,1082,0.062483375122642536
01067,1026,0.08971927361130032
01069,1026,0.5467405769613648
01071,1014,1
01071,1051,0.013099269505120146
01071,1074,1
01071,44009,0.013788112760142404
01073,1010,0.8353300425945365
01073,1011,0.6681323032385866
01075,1033,0.16508352440222732
01075,1048,0.07631005187579881
01075,1085,1
01075,1088,0.04415461973601509
01075,25021,0.031502245673545023
01077,1036,0.9387864776621849
01079,1024,0.04543787938456524
01079,1060,0.8076527296360485
01081,1064,0.7773543386461285
01081,1068,0.38275391558888355
01083,1007,1
01083,1051,0.03890404289897406
01085,1059,0.028952352839888815
01085,1075,0.014613369450929375
01087,1059,0.009316655597372887
01087,1064,0.09365722329106455
01087,1083,0.07823061630218688
01089,1051,0.8533020230006849
01091,1025,0.8558834562961111
