fips,state
01001,Alabama
01009,Alabama
01017,Alabama
01021,Alabama
01033,Alabama
01045,Alabama
01051,Alabama
01065,Alabama
01079,Alabama
01083,Alabama
01099,Alabama
01107,Alabama
01121,Alabama
05141,Arkansas
05145,Arkansas
06005,California
06021,California
06033,California
06043,California
06055,California
06089,California
06099,California
06115,California
08003,Colorado
08013,Colorado
08014,Colorado
08025,Colorado
08031,Colorado
08035,Colorado
08047,Colorado
12083,Florida
12087,Florida
12095,Florida
12111,Florida
12119,Florida
12125,Florida
13001,Georgia
13013,Georgia
13029,Georgia
13043,Georgia
13055,Georgia
13059,Georgia
13071,Georgia
13079,Georgia
13091,Georgia
13107,Georgia
13113,Georgia
13123,Georgia
08053,Colorado
08057,Colorado
08059,Colorado
08073,Colorado
08083,Colorado
08095,Colorado
08105,Colorado
08111,Colorado
08123,Colorado
09015,Connecticut
12001,Florida
12013,Florida
12023,Florida
12039,Florida
12055,Florida
12059,Florida
12073,Florida
04003,Arizona
04013,Arizona
05001,Arkansas
05009,Arkansas
05019,Arkansas
05029,Arkansas
05043,Arkansas
05051,Arkansas
05061,Arkansas
05071,Arkansas
05085,Arkansas
05097,Arkansas
05101,Arkansas
05111,Arkansas
05123,Arkansas
05129,Arkansas
13309,Georgia
13313,Georgia
13319,Georgia
16015,Idaho
16021,Idaho
16045,Idaho
16051,Idaho
16057,Idaho
16067,Idaho
16081,Idaho
17005,Illinois
17009,Illinois
17019,Illinois
17029,Illinois
17035,Illinois
17049,Illinois
17055,Illinois
17065,Illinois
18051,Indiana
18059,Indiana
18069,Indiana
18079,Indiana
18085,Indiana
18095,Indiana
18105,Indiana
18115,Indiana
18125,Indiana
18131,Indiana
18139,Indiana
18153,Indiana
18173,Indiana
18179,Indiana
18183,Indiana
19009,Iowa
19017,Iowa
19021,Iowa
19031,Iowa
19039,Iowa
17073,Illinois
17077,Illinois
17079,Illinois
17089,Illinois
17103,Illinois
17107,Illinois
17121,Illinois
17129,Illinois
17139,Illinois
17145,Illinois
17155,Illinois
17169,Illinois
17175,Illinois
17179,Illinois
17189,Illinois
17203,Illinois
18009,Indiana
18011,Indiana
18021,Indiana
18033,Indiana
13125,Georgia
13129,Georgia
13131,Georgia
13139,Georgia
13157,Georgia
13169,Georgia
13175,Georgia
13187,Georgia
13197,Georgia
13201,Georgia
13217,Georgia
13225,Georgia
13233,Georgia
13243,Georgia
13253,Georgia
13265,Georgia
13277,Georgia
13285,Georgia
13293,Georgia
13303,Georgia
20027,Kansas
20029,Kansas
20039,Kansas
20049,Kansas
20065,Kansas
20075,Kansas
20085,Kansas
20095,Kansas
20105,Kansas
20115,Kansas
20127,Kansas
20135,Kansas
20145,Kansas
20155,Kansas
20163,Kansas
20173,Kansas
20185,Kansas
20195,Kansas
20203,Kansas
20205,Kansas
21183,Kentucky
21187,Kentucky
21189,Kentucky
21199,Kentucky
21209,Kentucky
21219,Kentucky
21229,Kentucky
22001,Louisiana
22013,Louisiana
22033,Louisiana
22053,Louisiana
22073,Louisiana
22077,Louisiana
22089,Louisiana
22105,Louisiana
22115,Louisiana
21003,Kentucky
21009,Kentucky
21017,Kentucky
21025,Kentucky
21031,Kentucky
21043,Kentucky
21053,Kentucky
21063,Kentucky
21077,Kentucky
21087,Kentucky
21099,Kentucky
21103,Kentucky
21115,Kentucky
21121,Kentucky
21137,Kentucky
21143,Kentucky
21151,Kentucky
21157,Kentucky
21169,Kentucky
21175,Kentucky
19045,Iowa
19047,Iowa
19055,Iowa
19063,Iowa
19067,Iowa
19079,Iowa
19087,Iowa
19095,Iowa
19105,Iowa
19113,Iowa
19121,Iowa
19125,Iowa
19137,Iowa
19141,Iowa
19151,Iowa
19161,Iowa
19169,Iowa
19175,Iowa
19181,Iowa
19195,Iowa
20005,Kansas
20015,Kansas
27073,Minnesota
27083,Minnesota
27085,Minnesota
27093,Minnesota
27103,Minnesota
27113,Minnesota
27121,Minnesota
27127,Minnesota
27147,Minnesota
27153,Minnesota
27161,Minnesota
28003,Mississippi
28013,Mississippi
28017,Mississippi
28029,Mississippi
28037,Mississippi
28049,Mississippi
28061,Mississippi
28065,Mississippi
28075,Mississippi
22121,Louisiana
22127,Louisiana
23009,Maine
23029,Maine
24001,Maryland
24003,Maryland
24009,Maryland
24017,Maryland
24019,Maryland
24029,Maryland
24035,Maryland
24037,Maryland
24039,Maryland
24041,Maryland
25011,Massachusetts
26009,Michigan
26015,Michigan
26023,Michigan
26035,Michigan
26037,Michigan
26045,Michigan
26057,Michigan
26061,Michigan
26073,Michigan
26077,Michigan
26083,Michigan
26085,Michigan
26091,Michigan
26097,Michigan
26103,Michigan
26107,Michigan
26111,Michigan
26117,Michigan
26123,Michigan
26133,Michigan
26143,Michigan
26155,Michigan
26161,Michigan
26165,Michigan
27009,Minnesota
27019,Minnesota
27029,Minnesota
27039,Minnesota
27051,Minnesota
27057,Minnesota
27067,Minnesota
29097,Missouri
29103,Missouri
29109,Missouri
29117,Missouri
29131,Missouri
29137,Missouri
29151,Missouri
29159,Missouri
29169,Missouri
29179,Missouri
29195,Missouri
29205,Missouri
29211,Missouri
29221,Missouri
29229,Missouri
30013,Montana
30037,Montana
30043,Montana
31121,Nebraska
31125,Nebraska
31135,Nebraska
31137,Nebraska
31147,Nebraska
31159,Nebraska
31163,Nebraska
31171,Nebraska
31183,Nebraska
32009,Nevada
32021,Nevada
32033,Nevada
34007,New Jersey
34015,New Jersey
34031,New Jersey
35001,New Mexico
35006,New Mexico
30051,Montana
30059,Montana
30069,Montana
30093,Montana
30099,Montana
30107,Montana
31003,Nebraska
31009,Nebraska
31023,Nebraska
31035,Nebraska
31037,Nebraska
31047,Nebraska
