date,state,cases,deaths,fracpos,volume,RR
2020-03-07,Alabama,0,0,0.21428571428571427,0,1
2020-03-08,Alabama,0,0,0.3,0,1
2020-03-09,Alabama,0,0,0.5,0,1
2020-03-10,Alabama,0,0,0.5625,0,1
2020-03-11,Alabama,0,0,0.6216216216216216,10,1
2020-03-12,Alabama,0,0,0.7083333333333333,0,1
2020-03-13,Alabama,1,0,0.7431192660550459,2,1
2020-03-14,Alabama,5,0,0.8157894736842107,16,1
2020-03-15,Alabama,6,0,0.08614232209737827,12,1
2020-03-16,Alabama,16,0,0.09115720524017465,16,1
2020-03-17,Alabama,8,0,0.09263248599741492,8,1
2020-03-18,Alabama,10,0,0.10064011379800854,10,1
2020-03-19,Alabama,22,0,0.12374663731963806,22,1
2020-03-20,Alabama,13,0,0.12329342575089271,13,1
2020-03-21,Alabama,44,0,0.14276910435497125,43,1
2020-03-22,Alabama,14,0,0.16122531237404272,1450,1
2020-03-23,Alabama,30,0,0.13004759711346542,230,1
2020-03-24,Alabama,49,0,0.13193963726983246,489,1
2020-03-25,Alabama,70,0,0.13501945525291834,491,1
2020-03-26,Alabama,231,1,0.1370353267143847,1287,1
2020-03-27,Alabama,84,2,0.14323217473485247,672,1
2020-03-28,Alabama,113,0,0.1395197319434103,109,1
2020-03-29,Alabama,114,1,0.12935169425963172,110,1
2020-03-30,Alabama,55,2,0.1390260578895389,1563,1
2020-03-31,Alabama,126,7,0.14918985019871597,726,1
2020-04-01,Alabama,99,13,0.12820665436581155,495,1
2020-04-02,Alabama,162,6,0.13799611434915346,962,1
2020-04-03,Alabama,207,3,0.14544810066757255,883,1
2020-04-04,Alabama,153,8,0.15802888700084963,1234,1
2020-04-05,Alabama,224,2,0.1693707717176555,2225,1
2020-04-06,Alabama,178,5,0.12103174603174607,1687,1
2020-04-07,Alabama,157,6,0.11357476283692215,151,1
2020-04-08,Alabama,260,10,0.11687439361146354,4206,1
2020-04-09,Alabama,416,8,0.1141978544221966,1705,1
2020-04-10,Alabama,207,6,0.11325226710634789,199,1
2020-04-11,Alabama,231,11,0.09790698380874267,223,1
2020-04-12,Alabama,347,2,0.09343354657333831,334,1
2020-04-13,Alabama,203,6,0,0,1
2020-04-14,Alabama,171,15,0,0,1
2020-04-15,Alabama,266,4,0,0,1
2020-04-16,Alabama,158,15,0,0,1
2020-04-17,Alabama,92,15,0,0,1
2020-04-18,Alabama,231,5,0,0,1
2020-04-19,Alabama,190,4,0,0,1
2020-04-20,Alabama,185,6,0,0,1
2020-04-21,Alabama,241,20,0,0,1
2020-04-22,Alabama,288,13,0,0,1
2020-04-23,Alabama,207,6,0,0,1
2020-04-24,Alabama,193,7,0,0,1
2020-04-25,Alabama,182,0,0,0,1
2020-04-26,Alabama,201,10,0,0,1
